tag_id,type,stap_s,stap_t,lat_s,lon_s,lat_t,lon_t,j,start,end,n,distance,bearing,gs_u,gs_v,ws_u,ws_v
18LX,most_likely,24,25,19.125,1.875,39.125,16.875,1,2018-04-14T18:32:30Z,2018-04-15T15:02:30Z,1,2653.22338142653,29.79355903926927,64.3084927433168,112.3182344246895,46.65611706505752,53.579467811398395
18LX,most_likely,25,26,39.125,16.875,40.375,17.625,1,2018-04-15T18:47:30Z,2018-04-15T22:02:30Z,1,153.2397296296099,24.525054416068656,19.571830734179187,42.89674388277006,-12.571271126380331,39.63156134033203
18LX,most_likely,26,27,40.375,17.625,41.125,16.625,1,2018-04-25T18:42:30Z,2018-04-26T02:42:30Z,1,118.6674152287587,315.03795121066264,-10.481866936235539,10.495761965447928,10.642650263786317,9.150633204936986
18LX,most_likely,27,28,41.125,16.625,43.625,17.875,1,2018-04-29T21:17:30Z,2018-04-30T03:07:30Z,1,296.666904628669,19.853825778433077,17.272201586970482,47.83434102413094,13.058942109898156,18.66294825047084
18LX,most_likely,28,29,43.625,17.875,46.875,16.875,1,2018-04-30T18:37:30Z,2018-05-01T01:12:30Z,1,370.1702271769979,348.1307854545795,-11.564964812567535,55.0262056794611,22.221855085735083,19.053422565701645
18LX,simulation,1,2,48.9,17.05,47.625,16.625,1,2017-08-04T19:47:30Z,2017-08-04T23:17:30Z,1,145.38422341271163,192.67044088272405,-10.718934958361043,-39.72195360811433,14.391884561811175,-14.112821847098214
18LX,simulation,1,2,48.9,17.05,47.875,18.125,2,2017-08-04T19:47:30Z,2017-08-04T23:17:30Z,1,139.04686386394047,144.7403766069035,21.334072762288475,-31.666036467900597,9.624439877101354,-15.109979980468752
18LX,simulation,1,2,48.9,17.05,47.375,16.625,3,2017-08-04T19:47:30Z,2017-08-04T23:17:30Z,1,172.67241248896127,190.69420619759785,-10.770473776055171,-47.67322244560156,14.827438621520997,-13.88027685546875
18LX,simulation,1,2,48.9,17.05,48.375,16.875,4,2017-08-04T19:47:30Z,2017-08-04T23:17:30Z,1,59.843725398268376,192.48809443517553,-5.281789254171713,-15.894126368516227,11.364385259355817,-11.545930106026786
18LX,simulation,1,2,48.9,17.05,47.875,17.625,5,2017-08-04T19:47:30Z,2017-08-04T23:17:30Z,1,121.76215816571921,159.35236266280242,10.667263364521435,-31.770685636807134,11.637142095293319,-15.294332310267855
18LX,simulation,1,2,48.9,17.05,48.625,17.875,6,2017-08-04T19:47:30Z,2017-08-04T23:17:30Z,1,67.83778318873495,116.51407589455243,15.767036604942204,-7.873755429788372,8.88343199484689,-11.381672781808037
18LX,simulation,1,2,48.9,17.05,47.625,17.375,7,2017-08-04T19:47:30Z,2017-08-04T23:17:30Z,1,143.96097101033763,170.24756262845005,5.359495879939138,-39.74820914545811,13.825756701878136,-15.026474609374997
18LX,simulation,1,2,48.9,17.05,47.875,17.125,8,2017-08-04T19:47:30Z,2017-08-04T23:17:30Z,1,114.2370892426403,177.19000164112992,-5.84258820354411e-15,-31.805568798078205,13.558368448529924,-13.024714773995536
18LX,simulation,1,2,48.9,17.05,45.875,18.375,9,2017-08-04T19:47:30Z,2017-08-04T23:17:30Z,1,351.2213128465484,162.99185163863217,27.691294249439853,-95.19262701795152,4.853512072971889,-12.208470424107142
18LX,simulation,1,2,48.9,17.05,46.875,17.125,10,2017-08-04T19:47:30Z,2017-08-04T23:17:30Z,1,225.49145091575755,178.54936237039465,-1.168517640708822e-14,-63.61113759615641,12.487161905561175,-17.13752755301339
18LX,simulation,2,3,47.625,16.625,45.875,15.625,1,2017-08-05T19:27:30Z,2017-08-06T02:52:30Z,1,209.20392388292316,201.7474715912159,-10.451257770564483,-26.19964365673907,-3.893073676634372,-1.7674121621806973
18LX,simulation,2,3,47.875,18.125,45.625,17.625,2,2017-08-05T19:27:30Z,2017-08-06T02:52:30Z,1,253.3540223604068,188.8402545561362,-5.249726581168578,-33.754293325919754,-6.149512306813444,-7.091372024364686
18LX,simulation,2,3,47.375,16.625,46.625,17.125,3,2017-08-05T19:27:30Z,2017-08-06T02:52:30Z,1,91.71352395898666,155.36720764313566,5.154107691297549,-11.240546035091716,-1.1689891107109154,1.7008364004070837
18LX,simulation,2,3,48.375,16.875,46.125,15.625,4,2017-08-05T19:27:30Z,2017-08-06T02:52:30Z,1,267.67699304545977,201.1230518357213,-13.006291599058716,-33.666257114163,4.911868815904253,-0.5788478187818211
18LX,simulation,2,3,47.875,17.625,45.375,15.875,5,2017-08-05T19:27:30Z,2017-08-06T02:52:30Z,1,308.7662439734814,206.31512663848696,-18.455528327008313,-37.31711734163639,-7.14911486782117,-3.717578298504433
18LX,simulation,2,3,48.625,17.875,45.875,16.625,6,2017-08-05T19:27:30Z,2017-08-06T02:52:30Z,1,320.3568175412595,197.60867202067084,-13.06685027066917,-41.170309769531734,0.8293878314414729,-0.6852419550177757
18LX,simulation,2,3,47.625,17.375,43.625,17.625,7,2017-08-05T19:27:30Z,2017-08-06T02:52:30Z,1,445.702401883966,177.40731145653854,2.7184146765377784,-60.033189949294076,-9.810503397052209,-5.716123977489685
18LX,simulation,2,3,47.875,17.125,45.875,12.375,8,2017-08-05T19:27:30Z,2017-08-06T02:52:30Z,1,424.4101641853247,240.11948598969946,-49.61686136743969,-28.508511057627643,0.7838392556865562,-1.7318475334938994
18LX,simulation,2,3,45.875,18.375,46.875,18.875,9,2017-08-05T19:27:30Z,2017-08-06T02:52:30Z,1,117.75630938284932,18.8521431320425,5.130371080612645,15.025529115066455,-9.589358668295183,-13.660344889094317
18LX,simulation,2,3,46.875,17.125,45.625,12.375,10,2017-08-05T19:27:30Z,2017-08-06T02:52:30Z,1,391.15164522638,250.89296373200978,-49.834058519894,-17.263444035723854,-8.903804386781841,-6.12738534511609
18LX,simulation,3,4,45.875,15.625,40.625,16.375,1,2017-08-06T19:12:30Z,2017-08-07T03:17:30Z,1,587.574541588985,173.8002164678103,7.8501606189797295,-72.26449938185814,4.689980006424424,-21.391378330191383
