tag_id,type,stap_id,lat,lon,j
18LX,simulation,14,9.875,-1.125,8
18LX,simulation,14,10.375,-0.875,9
18LX,simulation,14,9.875,-0.625,10
18LX,simulation,15,6.875,-1.375,1
18LX,simulation,15,8.625,-3.125,2
18LX,simulation,15,10.375,-2.125,3
18LX,simulation,15,9.125,-2.625,4
18LX,simulation,15,8.125,-3.625,5
18LX,simulation,15,8.875,-2.875,6
18LX,simulation,15,6.625,-2.625,7
18LX,simulation,15,9.875,-2.625,8
18LX,simulation,15,9.625,-4.125,9
18LX,simulation,15,6.625,-2.875,10
18LX,simulation,16,7.875,-2.125,1
18LX,simulation,16,9.625,-2.375,2
18LX,simulation,16,9.125,-2.125,3
18LX,simulation,16,9.625,-2.125,4
18LX,simulation,16,10.125,-2.375,5
18LX,simulation,16,8.375,-2.125,6
18LX,simulation,16,8.625,-2.375,7
18LX,simulation,16,8.625,-1.625,8
18LX,simulation,16,8.625,-2.625,9
18LX,simulation,16,8.375,-2.625,10
18LX,simulation,17,9.625,-1.125,1
18LX,simulation,17,9.375,-1.625,2
18LX,simulation,17,9.625,-1.125,3
18LX,simulation,17,10.625,-1.125,4
18LX,simulation,17,10.125,-0.875,5
18LX,simulation,17,10.125,-1.125,6
18LX,simulation,17,10.125,-1.625,7
18LX,simulation,17,9.875,-1.625,8
18LX,simulation,17,8.875,-2.125,9
18LX,simulation,17,9.375,-1.875,10
18LX,simulation,18,9.875,-1.125,1
18LX,simulation,18,9.625,-1.875,2
18LX,simulation,18,10.375,-1.125,3
18LX,simulation,18,10.125,-1.125,4
18LX,simulation,18,9.875,-1.125,5
18LX,simulation,18,10.125,-1.625,6
18LX,simulation,18,9.375,-1.625,7
18LX,simulation,18,9.875,-1.125,8
18LX,simulation,18,8.875,-2.125,9
18LX,simulation,18,10.125,-1.375,10
18LX,simulation,19,6.875,-5.375,1
18LX,simulation,19,7.625,-4.875,2
18LX,simulation,19,10.375,-4.875,3
18LX,simulation,19,10.125,-5.375,4
18LX,simulation,19,7.625,-5.625,5
18LX,simulation,19,8.625,-4.625,6
18LX,simulation,19,10.375,-5.375,7
18LX,simulation,19,6.875,-6.875,8
18LX,simulation,19,8.125,-6.625,9
18LX,simulation,19,8.625,-5.625,10
18LX,simulation,20,6.375,-6.625,1
18LX,simulation,20,7.375,-6.625,2
18LX,simulation,20,7.875,-6.625,3
18LX,simulation,20,7.625,-6.125,4
18LX,simulation,20,7.375,-6.125,5
18LX,simulation,20,7.625,-6.375,6
18LX,simulation,20,7.875,-6.375,7
18LX,simulation,20,7.875,-6.125,8
18LX,simulation,20,7.625,-7.375,9
18LX,simulation,20,7.875,-6.375,10
18LX,simulation,21,9.125,-5.875,1
18LX,simulation,21,7.125,-6.125,2
18LX,simulation,21,9.375,-5.875,3
18LX,simulation,21,9.125,-5.875,4
18LX,simulation,21,8.375,-6.125,5
18LX,simulation,21,9.875,-6.125,6
18LX,simulation,21,7.875,-6.125,7
18LX,simulation,21,9.625,-5.125,8
18LX,simulation,21,6.375,-6.875,9
18LX,simulation,21,8.875,-5.375,10
18LX,simulation,22,12.625,-3.875,1
18LX,simulation,22,12.625,-3.125,2
18LX,simulation,22,12.125,-4.375,3
18LX,simulation,22,14.125,-4.625,4
18LX,simulation,22,14.125,-5.125,5
18LX,simulation,22,13.125,-3.875,6
18LX,simulation,22,9.875,-4.875,7
18LX,simulation,22,11.375,-1.625,8
18LX,simulation,22,12.125,-4.375,9
18LX,simulation,22,12.375,-3.125,10
18LX,simulation,23,16.375,-3.875,1
18LX,simulation,23,16.375,-4.125,2
18LX,simulation,23,16.875,-3.625,3
18LX,simulation,23,15.375,-3.875,4
18LX,simulation,23,22.375,-2.875,5
18LX,simulation,23,19.875,-1.875,6
18LX,simulation,23,14.375,-3.375,7
18LX,simulation,23,22.375,-2.625,8
18LX,simulation,23,16.625,-4.125,9
18LX,simulation,23,15.125,-3.875,10
18LX,simulation,24,21.625,2.625,1
18LX,simulation,24,19.625,0.625,2
18LX,simulation,24,19.625,4.875,3
18LX,simulation,24,21.375,1.625,4
18LX,simulation,24,21.875,2.375,5
18LX,simulation,24,21.125,1.125,6
18LX,simulation,24,19.125,0.125,7
18LX,simulation,24,20.625,1.125,8
18LX,simulation,24,19.625,4.125,9
18LX,simulation,24,20.875,1.375,10
18LX,simulation,25,39.375,20.375,1
18LX,simulation,25,39.625,19.875,2
18LX,simulation,25,39.125,16.125,3
18LX,simulation,25,41.125,20.375,4
18LX,simulation,25,40.375,19.375,5
18LX,simulation,25,39.875,20.625,6
18LX,simulation,25,38.125,16.125,7
18LX,simulation,25,39.125,16.625,8
18LX,simulation,25,38.875,16.125,9
18LX,simulation,25,39.125,16.125,10
18LX,simulation,26,40.125,18.125,1
18LX,simulation,26,40.375,17.875,2
18LX,simulation,26,40.375,17.625,3
18LX,simulation,26,39.875,18.125,4
18LX,simulation,26,40.375,17.625,5
18LX,simulation,26,40.375,17.875,6
18LX,simulation,26,38.375,16.375,7
18LX,simulation,26,40.625,17.625,8
18LX,simulation,26,40.125,18.125,9
18LX,simulation,26,40.125,16.625,10
18LX,simulation,27,40.375,18.125,1
18LX,simulation,27,41.125,16.875,2
18LX,simulation,27,42.875,17.125,3
18LX,simulation,27,40.375,16.625,4
18LX,simulation,27,43.125,17.375,5
18LX,simulation,27,40.125,16.375,6
18LX,simulation,27,40.875,17.125,7
18LX,simulation,27,41.125,16.375,8
18LX,simulation,27,40.375,16.375,9
18LX,simulation,27,40.375,18.125,10
18LX,simulation,28,42.875,17.625,1
18LX,simulation,28,43.125,18.125,2
18LX,simulation,28,45.125,20.875,3
18LX,simulation,28,43.125,17.125,4
18LX,simulation,28,45.875,18.875,5
18LX,simulation,28,43.375,17.625,6
18LX,simulation,28,43.375,17.875,7
18LX,simulation,28,43.375,17.875,8
18LX,simulation,28,43.375,17.625,9
18LX,simulation,28,42.875,17.125,10
18LX,simulation,29,46.125,17.375,1
18LX,simulation,29,46.875,17.875,2
18LX,simulation,29,47.375,19.625,3
18LX,simulation,29,46.875,17.625,4
18LX,simulation,29,47.625,17.125,5
18LX,simulation,29,46.625,16.875,6
18LX,simulation,29,47.375,17.375,7
18LX,simulation,29,46.875,16.875,8
18LX,simulation,29,47.625,17.875,9
18LX,simulation,29,48.125,19.625,10
CB619,simulation,1,37.286812,-82.304972,1
CB619,simulation,1,37.286812,-82.304972,2
CB619,simulation,1,37.286812,-82.304972,3
CB619,simulation,1,37.286812,-82.304972,4
CB619,simulation,1,37.286812,-82.304972,5
CB619,simulation,1,37.286812,-82.304972,6
CB619,simulation,1,37.286812,-82.304972,7
CB619,simulation,1,37.286812,-82.304972,8
CB619,simulation,1,37.286812,-82.304972,9
CB619,simulation,1,37.286812,-82.304972,10
CB619,simulation,2,32.25,-82.75,1
CB619,simulation,2,34.25,-80.25,2
CB619,simulation,2,32.75,-81.25,3
CB619,simulation,2,32.25,-80.75,4
CB619,simulation,2,30.25,-81.75,5
CB619,simulation,2,30.25,-82.25,6
CB619,simulation,2,31.25,-81.75,7
CB619,simulation,2,31.25,-81.75,8
CB619,simulation,2,32.75,-80.25,9
CB619,simulation,2,32.75,-80.75,10
CB619,simulation,3,27.25,-81.25,1
CB619,simulation,3,28.75,-80.75,2
CB619,simulation,3,26.25,-81.25,3
CB619,simulation,3,28.75,-80.75,4
CB619,simulation,3,24.25,-77.75,5
CB619,simulation,3,26.25,-80.75,6
CB619,simulation,3,24.75,-78.25,7
CB619,simulation,3,25.75,-81.25,8
